,coordinates
0,"[51.5395858, -0.1138834]"
1,"[51.5374278, -0.0890363]"
2,"[51.5272036, -0.08068439999999999]"
3,"[51.5401728, -0.07817049999999999]"
4,"[51.54217449999999, -0.112727]"
5,"[51.5381018, -0.1078963]"
6,"[51.5471507, -0.0905071]"
7,"[51.5434838, -0.1071824]"
8,"[51.5292, -0.08108119999999999]"
9,"[51.5395998, -0.1091995]"
10,"[51.53738569999999, -0.09406479999999999]"
11,"[51.5292, -0.08108119999999999]"
12,"[51.5398216, -0.0943058]"
13,"[51.547061, -0.08354929999999999]"
14,"[51.5372046, -0.1196945]"
15,"[51.5434887, -0.0868442]"
16,"[51.5363669, -0.1025126]"
17,"[51.5317421, -0.1141697]"
18,"[51.5412595, -0.079681]"
19,"[51.5360998, -0.1094828]"
20,"[50.7487635, -2.3444786]"
21,"[51.5495259, -0.0799198]"
22,"[51.5497114, -0.08725139999999999]"
23,"[51.5491645, -0.0853627]"
24,"[51.536544, -0.09046219999999999]"
25,"[50.608277, -1.960769]"
26,"[51.53578359999999, -0.0930775]"
27,"[51.5344133, -0.0977217]"
28,"[51.5436805, -0.1114945]"
29,"[51.5417248, -0.1003411]"
30,"[51.5374898, -0.1154583]"
31,"[51.5499974, -0.08439229999999999]"
32,"[51.5333911, -0.09811629999999999]"
33,"[51.5406664, -0.0881599]"
34,"[51.53691569999999, -0.1161712]"
35,"[51.5342242, -0.1141915]"
36,"[51.5423453, -0.1023859]"
37,"[51.5456449, -0.08577200000000001]"
38,"[51.5332129, -0.098133]"
39,"[51.5442839, -0.08985]"
40,"[51.548689, -0.0896555]"
41,"[51.5356184, -0.08139149999999999]"
42,"[51.5398974, -0.0994843]"
43,"[51.5291364, -0.08450679999999999]"
44,"[51.5480031, -0.0877138]"
45,"[51.5411621, -0.08889849999999999]"
46,"[51.54041120000001, -0.1159932]"
47,"[51.52817450000001, -0.0819897]"
48,"[51.5348953, -0.1001902]"
49,"[51.5370564, -0.09479889999999999]"
50,"[51.531259, -0.1125948]"
51,"[51.5393151, -0.0860955]"
52,"[51.5445124, -0.0971915]"
53,"[50.7487635, -2.3444786]"
54,"[51.5396381, -0.104943]"
55,"[51.54008750000001, -0.084255]"
56,"[51.5497082, -0.0872474]"
57,"[51.5368191, -0.0924912]"
58,"[51.5426332, -0.1015891]"
59,"[51.5372639, -0.1154804]"
60,"[51.5317421, -0.1141697]"
61,"[51.5381057, -0.1052142]"
62,"[51.5359645, -0.1017493]"
63,"[51.53979229999999, -0.1044055]"
64,"[51.5406671, -0.0784428]"
65,"[51.5345689, -0.1131044]"
66,"[51.5369174, -0.1013807]"
67,"[51.5294784, -0.0859076]"
68,"[51.5401093, -0.1044478]"
69,"[51.5420858, -0.09726409999999999]"
70,"[51.5440214, -0.08477889999999999]"
71,"[51.537057, -0.1018413]"
72,"[51.5422624, -0.1136237]"
73,"[51.5407009, -0.1189772]"
74,"[51.5392258, -0.1134691]"
75,"[51.5365225, -0.1027209]"
76,"[51.5419761, -0.0958969]"
77,"[51.5485845, -0.09039409999999999]"
78,"[51.5335633, -0.08910060000000002]"
79,"[51.5321446, -0.0949536]"
80,"[51.5317421, -0.1141697]"
81,"[51.535625, -0.0887279]"
82,"[51.5317421, -0.1141697]"
83,"[51.54062649999999, -0.0832227]"
84,"[51.53831539999999, -0.0857558]"
85,"[51.5294283, -0.0890682]"
86,"[51.5379519, -0.0860551]"
87,"[51.5317421, -0.1141697]"
88,"[51.5316312, -0.1137495]"
89,"[51.5318682, -0.1130664]"
90,"[51.53973939999999, -0.0773056]"
91,"[51.5437892, -0.1028782]"
92,"[51.54063619999999, -0.1209936]"
93,"[51.5316312, -0.1137495]"
94,"[51.5297869, -0.0936105]"
95,"[51.53673029999999, -0.0773527]"
96,"[51.5303767, -0.0909155]"
97,"[51.5347368, -0.1006628]"
98,"[51.5327521, -0.0964266]"
99,"[51.5385115, -0.0856033]"
100,"[51.5367687, -0.1139465]"
101,"[51.5316312, -0.1137495]"
102,"[51.5316312, -0.1137495]"
103,"[51.5316312, -0.1137495]"
104,"[51.5316785, -0.09141529999999999]"
105,"[51.5365234, -0.08259169999999999]"
106,"[51.5314523, -0.08296429999999999]"
107,"[51.52817450000001, -0.0819897]"
108,"[51.5327144, -0.0899562]"
109,"[51.53735950000001, -0.1008883]"
110,"[51.5331193, -0.09782350000000001]"
111,"[51.5287474, -0.0917318]"
112,"[51.5326063, -0.1209637]"
113,"[51.5435366, -0.0817936]"
114,"[51.5318682, -0.1130664]"
115,"[51.5317421, -0.1141697]"
116,"[51.5370953, -0.079498]"
117,"[51.5414264, -0.105932]"
118,"[51.5426623, -0.1122882]"
119,"[51.5394605, -0.0807751]"
120,"[51.5316312, -0.1137495]"
121,"[51.5418108, -0.085587]"
122,"[51.5317421, -0.1141697]"
123,"[51.5316312, -0.1137495]"
124,"[51.5317421, -0.1141697]"
125,"[51.5315142, -0.0838187]"
126,"[51.5337081, -0.09334790000000001]"
127,"[51.5461888, -0.07725749999999999]"
128,"[51.5451346, -0.09557009999999999]"
129,"[51.5369629, -0.1036823]"
130,"[51.531571, -0.0801833]"
131,"[51.543366, -0.1027831]"
132,"[51.5386786, -0.108829]"
133,"[51.5379948, -0.0899432]"
134,"[51.53426529999999, -0.1027189]"
135,"[51.5391314, -0.1127211]"
136,"[51.5443294, -0.1052]"
137,"[51.541435, -0.0872165]"
138,"[51.5439379, -0.0916558]"
139,"[51.5427372, -0.089057]"
140,"[51.5400387, -0.1023113]"
141,"[51.5293753, -0.0805467]"
142,"[51.5292, -0.08108119999999999]"
143,"[51.54189419999999, -0.09422939999999999]"
144,"[51.53924379999999, -0.1083174]"
