ID,Field,First5Years,AppliedforGrants,VR,SSMF,Ragnar,ERC,SwedishFoundation,Formas,Forte,Wallenberg,GotaGrant,SufficientVR,SufficientSMSF,SufficientRagnar,SufficientERC,SufficientSF
4,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
3,1,2,1,1,0,0,0,0,0,0,0,1,1,2,2,1,1
5,1,4,1,1,0,0,0,0,0,0,0,1,0,2,2,2,2
6,1,3,1,0,0,0,1,0,0,0,0,0,2,2,2,2,2
7,2,5,1,0,0,0,0,0,0,1,0,0,2,2,2,2,2
9,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1
10,1,4,1,1,1,0,0,0,0,0,0,1,0,0,2,2,2
11,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
17,1,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,2
18,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0
19,1,4,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2
22,1,2,1,1,0,0,1,1,0,0,0,1,0,2,2,1,0
23,1,5,1,1,1,0,1,1,0,0,0,1,0,0,2,1,0
28,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
29,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
30,1,4,1,1,0,0,0,0,0,0,0,1,0,2,2,1,2
34,1,2,0,0,0,0,0,0,0,0,0, ,2,2,2,2,2
36,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
38,2,4,1,1,1,0,0,0,0,1,0,0,2,2,2,2,2
39,1,5,1,1,0,0,0,1,0,0,0,0,2,2,2,2,2
41,1,2,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2
42,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
44,2,2,1,1,0,0,1,1,0,0,0,1,0,1,2,1,1
45,1,2,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0
47,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
48,1,4,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1
50,1,2,1,1,0,1,0,1,0,0,0,1,1,2,1,2,1
51,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,1,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
53,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
54,1,4,1,1,1,0,0,1,0,0,0,1,0,0,2,2,2
55,2,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
56,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0
58,1,4,1,1,0,0,0,0,0,0,0,1,1,2,2,1,2
59,1,4,1,1,0,0,0,1,0,0,0,1,1,1,2,2,1
60,1,5,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2
65,1,5,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
66,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
